2020-11-27 05:10:27,311 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 05:10:27,311 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 05:10:27,312 DEBUG (0.001) SHOW FULL TABLES; args=None
2020-11-27 05:10:27,316 DEBUG (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-11-27 05:11:38,583 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 05:11:38,583 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 05:11:38,585 DEBUG (0.001) SHOW FULL TABLES; args=None
2020-11-27 05:11:38,588 DEBUG (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-11-27 12:39:52,273 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:39:52,274 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:39:52,275 DEBUG (0.001) SHOW FULL TABLES; args=None
2020-11-27 12:39:52,294 DEBUG (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-11-27 12:40:53,408 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:40:53,409 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:40:53,410 DEBUG (0.001) SHOW FULL TABLES; args=None
2020-11-27 12:40:53,413 DEBUG (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-11-27 12:47:01,919 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:47:01,920 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:47:01,921 DEBUG (0.001) SHOW FULL TABLES; args=None
2020-11-27 12:47:01,925 DEBUG (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-11-27 12:47:06,419 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:47:06,421 DEBUG (0.002) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:47:06,424 DEBUG (0.002) SELECT `users`.`id`, `users`.`created_at`, `users`.`updated_at`, `users`.`username`, `users`.`password`, `users`.`email`, `users`.`profile_image_url` FROM `users` WHERE `users`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:06,425 DEBUG (0.000) SELECT `carts`.`id`, `carts`.`product_id`, `carts`.`user_id`, `carts`.`order_id`, `carts`.`quantity`, `carts`.`color_id`, `carts`.`shipment`, `carts`.`tracking_number`, `carts`.`size_id` FROM `carts` WHERE `carts`.`user_id` = 1; args=(1,)
2020-11-27 12:47:06,427 DEBUG (0.000) SELECT `products`.`id`, `products`.`name`, `products`.`menu_id`, `products`.`category_id`, `products`.`sub_category_id`, `products`.`collection_id`, `products`.`seller_id` FROM `products` WHERE `products`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:06,429 DEBUG (0.000) SELECT `products`.`id`, `products`.`name`, `products`.`menu_id`, `products`.`category_id`, `products`.`sub_category_id`, `products`.`collection_id`, `products`.`seller_id` FROM `products` WHERE `products`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:06,431 DEBUG (0.001) SELECT `product_images`.`id`, `product_images`.`product_image_url`, `product_images`.`product_id` FROM `product_images` WHERE `product_images`.`product_id` IN (1); args=(1,)
